name,category,description,price,expiryDate,quantity,supplier,color,size,country,type,sold
verma1,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj1,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj2,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj3,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj4,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj5,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
manoj6,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
man4oj,5a131b94ca060916d1a07510,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
mano7j,5a131fc8ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
man8oj,5a131fc8ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
man9oj,5a131fc8ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
man0oj,5a131fc8ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
man12oj,5a131fc8ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
man92oj,5a131fc8ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
man54oj,5a131fc8ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
man44oj,5a131fc8ca060916d1a07514,blah,12,12-10-2017,12,5a131f7cca060916d1a07513,pink,12,india,test,0
