 name ,category,description,price,expiryDate,quantity,supplier,color,size,country,type,sold,style,perc_alcholas,fermentation,aromas,taste,flavors,recommended,features,subcategory
Humulupucienne,Biéres Artisanales,Collaboration L’Agrivoise et Virginie de Fleurac. ,3.3,13-10-2018,12,Chez Alan ,Blonde,33cl,Francaise,Brasserie L’agrivoise,0,Session Pale Ale,0.045,Fermentation Haute,"Pamplemousse, orange","Pamplemousse, poivre, notes florales 
","Equilibre entre 
douceur et amertume","Rillettes de thon au paprika, salade fraîche d'été",Légère,Bouteilles
Chiniacum  ,Biéres Artisanales,Brassée avec de l’orge de Rhône-Alpin malté en Ardèche par Malteurs Echos à Beauchastel. Longue vie à eux! ,3.3,13-10-2018,12,Chez Alan ,Blonde,33cl,Francaise,Brasserie L’agrivoise,0,saison,0.059,Fermentation Haute,,n.a,n.a,n.a,Forte,Bouteilles
Vue sur l’Amer ,Biéres Artisanales,"Anti Colonialisme Pale Ale
Malt: Pale malt, Munich, Caramunich.
Hop: Centennial, Citra, Cascade, Summit, Nelson Sauvin ",3.96,14-10-2018,12,Chez Alan ,Ambrée,33cl,Francaise,Brasserie L’agrivoise,0,IPA,0.065,Fermentation Haute,"Herbes fraiches, fruits exotiques","Citron, pamplemousse, mangue, litchi",Amertume prononcée,"Beignets de poisson au curry, gambas grillées au piment",Forte,Bouteilles
L’Asociale  ,Biéres Artisanales,Double Anti Colonialisme Pale Ale ,3.96,15-10-2018,12,Chez Alan ,Ambrée,33cl,Francaise,Brasserie L’agrivoise,0,Double IPA,0.076,Fermentation Haute,"Houblons, fruits jaunes",Fruits jaunes,Amertume puissante et persistante,n.a,Forte,Bouteilles
L'an Que Ven    ,Biéres Artisanales,"Notre Bière d’Hiver, L’An que Ven: Elle a été récompensée au Concours National des bières Artisanales de Saint Nicolas de Port (54) en Février 2010, par un FOURQUET DE BRONZE!! ",3.3,16-10-2018,12,Chez Alan ,brune,33cl,Francaise,Brasserie L’agrivoise,0,N.a,0.069,Fermentation Haute,,n.a,n.a,n.a,Forte ,Bouteilles
Sous les Pavés ,Biéres Artisanales,"Bière noire titrant, elle vous surprendra par son coté désaltérant! Une fois les premières gorgées où le torréfié est mis en valeur, elle révèle son coté aromatique au fur et à mesure que vous la dégustez ; de préférence au dessus de 10°c ",3.3,17-10-2018,12,Chez Alan ,Noire,33cl,Francaise,Brasserie L’agrivoise,0,stout,0.055,Fermentation Haute,"Grillé, torréfié, chocolat, fruits cuits","Chocolat, raisins noirs",Amertume prononcée,"Picodon de l'Ardèche, crumble aux fruits rouges",Moyenne ,Bouteilles
Les échappées sasion,Biéres Artisanales,n.a,3.3,18-10-2018,12,Chez Alan ,Blonde,33cl,Francaise,Brasserie L’agrivoise,0,oatmeal sout,0.067,Fermentation Haute,"Mangue, ananas, peche","Malts, houblons",Forte amertume persistante,n.a,Forte ,Bouteilles
Pierre de lunee blanche ,Biéres Artisanales,n.a,3.3,19-10-2018,12,Chez Alan ,Blanche ,33cl,Francaise,Brasserie de la pleine lune ,0,n.a,0.098,n.a,n.a,n.a,n.a,n.a,Forte  ,Bouteilles
Cabéo'Lune ,Biéres Artisanales,"La Cabéo’lune est une bière issue d’orge 100 % drômois, malté localement. Elle a été brassée à Chabeuil par des brasseurs en marinière Armor-Nex utilisant tous des robots ménagers Moulilux. Elle contribue par ailleurs pour 18 centimes d’euros par litre au comblement du trou de la Secu. Elle participe donc au redressement, entre autres productif, de la France. Santé ! ",3.3,20-10-2018,12,Chez Alan ,Ambrée,33cl,Francaise,Brasserie de la pleine lune ,0,Ale,0.052,n.a,"sucre d’orge, fruité pêche, notes beurrée","fruits jaunes, sucre d’orge, notes de beurre rance avec petite amertume et levures",n.a,n.a,Moyenne ,Bouteilles
Lunette,Biéres Artisanales,Blanche de printemps au Sorachi Ace ,3.3,21-10-2018,12,Chez Alan ,Blanche ,33cl,Francaise,Brasserie de la pleine lune ,0,Witbier,0.046,n.a,"agrumes, bubblegum, blé, levure","saveurs rafraîchissantes et typiques de Sorachi, citronnelle, bubblegum, agrumes",à déguster entre 3°C et 8°C,n.a,Légère,Bouteilles
L’une et l’autre,Biéres Artisanales,Bière de printemps ,3.3,22-10-2018,12,Chez Alan ,Blonde,33cl,Francaise,Brasserie de la pleine lune ,0,Bière de Garde,0.058,n.a,"floral et rappelant les fruits exotiques (ananas, mangue). ",n.a,n.a,n.a,Moyenne ,Bouteilles
Gens de la lune,Biéres Artisanales,Lager Tropical Collaboration entre la brasserie de la Pleine Lune et Bières Cultes.,4,23-10-2018,12,Chez Alan ,Blonde,33cl,Francaise,Brasserie de la pleine lune ,0,Pale Lager,0.049,Fermentation basse,"les houblons aromatiques s’expriment pleinement, sur un corps léger mais présent, avec une forte dominante de fruits exotiques apportée par l’emploi du houblon Mozaïc",n.a,A déguster fraiche entre 4° et 8°C,,Légère,Bouteilles
